PID,dateCaptured,field_contact_info,field_digital_origin,field_digital_reproduction_info,field_extent,field_form,"field_form, field_form_URI",field_form_URI,field_genre,field_identifier,field_institution_web_site,field_language_of_cataloging,field_linked_agent,field_note,field_oclc_symbol,field_physical_description_note,field_physical_location,"field_physical_location, field_institution_website",field_place_of_origin,field_preferred_citation,field_record_change_date,field_record_content_source,field_record_creation_date,field_record_origin,field_relation,field_repository_collection_guide,field_rights_information,field_rights_statement,field_shelf_location,field_subject_geographic,field_subject_topic,field_sublocation,nan
lsu-ag-agexp:2987,,Please submit an LSU Special Collections reference ticket at https://askus.lielem.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,,,,2018-12-11-06:00,,5/13/2014|5/13/2014,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection,,This item is in the public domain.,,S67 .E18,,"Agriculture|Louisiana|Sugar|Research|Louisiana|Sugar|Manufacture and refining|Periodicals|Sugarcane|Louisiana|Sugarcane|Louisiana|Periodicals|Bacteriology, agricultural|Louisiana|Sugarcane products|Louisiana",,
lsu-ag-agexp:914,,Please submit an LSU Special Collections reference ticket at https://askus.lielem.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,,,,2018-12-11-06:00,,5/13/2014|5/13/2014,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection,,This item is in the public domain.,,S67 .E27,,Agriculture|Louisiana|Sugar|Research|Louisiana|Sugar|Manufacture and refining|Periodicals|Sugarcane|Louisiana|Sugarcane|Louisiana|Periodicals,,
lsu-ag-sugarbulletin:25678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25685,,E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lielem.lsu.edu/special/services/duplication.html,,,,,,,,,http://lielem.lsu.edu,,,,LUU,,"Louisiana State University: LSU
                Libraries",,,,2018-02-23,,2013-02-01|2013-02-01,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/lsu-ag-sugarbulletin%3Acollection,,This item is in the public domain.,,SB215 .S89,,Sugar trade|United States|Periodicals|Sugarcane industry|United States|Periodicals|Sugar growing|Periodicals,,
lsu-ag-sugarbulletin:25686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:25696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
