,Modified xml2workbench outputs (First column are fields),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field_internet_Media_Type,PID,digital_Origin,fieldNoteNew,field_abstract_description,field_access_restrictions,field_alt_title,field_caption,field_contact_information,field_date_captured,field_digital_collection,field_digital_collection_url,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_genre,field_harmful_content_notice,field_identifier,field_institution_web_site,field_language,field_linked_agent,field_local_identifier,field_note,field_number,field_number,field_physical_description_note,field_physical_form,field_physical_location,field_pid,field_place_of_publication,field_preferred_citation,field_repository_collection,field_repository_collection_guide,field_resource_type,field_rights_information,field_rights_statement,field_rights_statement_uri,field_shelf_location,field_source_note,field_subject,field_sublocation,field_title,identifier_Master_displayLabel_Attribs,identifier_displayLabel_Attribs,identifier_displayLabel_missingAttribs,title
image/jp2,Test:MODS_default_form_full_record.xml,reformatted digital,Here's a note about this photo.,This is a record created in the LDL Default MODS Form.,No restrictions on access.,An Alternative title : Alternative subtitle|The Translated title : Translated subtitle|The Abbreviated title : Abbreviated subtitle|The Uniform title : Uniform subtitle,Vol.,Here is our contact information.,3/1/20,Elisa Naquin Training Collection,https://louisianadigitallibrary.org/training/enaquin-training,2010|2020,2020,1 photograph,The Title of this item,selfies,This image contains potentially sensitive content.,4693,LUU,English,"relators:ctb:corporate_body:LSU Libraries. Special Collections|relators:ctb:person:Lytle, Andrew|relators:ctb:conference:This is a Conference Contributor|relators:aut:corporate_body:LSU Libraries|relators:ctb:person:Family Contributor|relators:pbl:corporate_body:The Publisher",isbn:4693,ownership:This is a source note.|preferred citation:Here is the preferred citation.,20,21,Paper print,Photographs,LSU Libraries,Test:MODS_default_form_full_record.xml,Baton Rouge (La.),Here is the preferred citation.,Physical Collection Title|Series II|Photographs,https://lytlephotos/findingaid.org,still image,This item is in the public domain.,No Copyright - United States,,"V:47, Box 1",This is a source note.,Goats--Louisiana,Hill Memorial Library: Special Collections,The volume title,Item Number|ISBN,Item Number|ISBN,,The Title of this item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modified xml2workbench outputs (First column are fields),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PID,field_abstract,field_alt_title,field_classification,field_copyright_date,field_date_captured,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_genre,field_geographic_subject,field_identifier,field_is_preceded_by,field_is_succeeded_by,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_oclc_number,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title,,,,,,,,,,,,
Test:MODS_default_form_full_record.xml,This is a record created in the LDL Default MODS Form.,An Alternative title : Alternative subtitle|The Uniform title : Uniform subtitle,,,3/1/20,,,2010|2020,2020,1 photograph,The Title of this item : Subtitle of this item,selfies,,,,,123456789,English,,relators:ctb:corporate_body:|relators:ctb:person:|relators:ctb:conference:|relators:aut:corporate_body:|relators:ctb:person:|relators:pbl:corporate_body:The Publisher,4693,,host: This is the title of the parent|host: Elisa Naquin Training Collection https://louisianadigitallibrary.org/training/enaquin-training Physical Collection Title Series II Photographs https://lytlephotos/findingaid.org.,,,Test:MODS_default_form_full_record.xml,Baton Rouge (La.),,,use and reproduction: No Copyright - United States|use and reproduction: This item is in the public domain.|restrictions on access: No restrictions on access.|use and reproduction: Here is our contact information.,,,,The Title of this item : Subtitle of this item,,,,,,,,,,,,
